"filename", "language", "JSON", "HTML", "Dart", "Markdown", "YAML", "C++", "XML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\appBarProvider.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 66
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\commentProvider.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 67
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\feedProvider.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\fullPostHelper.dart", "Dart", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 190
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\linkScreenProvider.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\linkedToScreenProvider.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\logHelper.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\myProfileProvider.dart", "Dart", 0, 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 638
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\otherProfileProvider.dart", "Dart", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 388
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\postCarouselHelper.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 58
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\postTabProvider.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\regHelper.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\themeModel.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\topicScreenProvider.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\User\Desktop\receive\linkspeak\lib\routes.dart", "Dart", 0, 0, 374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 379
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\Feed.dart", "Dart", 0, 0, 941, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 980
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinkedNotifScreen.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 180
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinksNotifScreen.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 178
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\MyprofileScreen.dart", "Dart", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 113
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\PostCommentsNotifScreen.dart", "Dart", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 185
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\aboutScreen.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\addPostScreen.dart", "Dart", 0, 0, 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 986
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\blockedUserScreen.dart", "Dart", 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 290
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\chatScreen.dart", "Dart", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 240
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentLikesScreen.dart", "Dart", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 404
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentRepliesNotifScreen.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 188
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentRepliesScreen.dart", "Dart", 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 548
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\editProfile.dart", "Dart", 0, 0, 762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 786
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favoritePostsScreen.dart", "Dart", 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 654
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\feedScreen.dart", "Dart", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 436
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\findPostScreen.dart", "Dart", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 176
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\finishSetup.dart", "Dart", 0, 0, 670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 692
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\helpScreen.dart", "Dart", 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 289
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedPostScreen.dart", "Dart", 0, 0, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 652
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\linkRequestsScreen.dart", "Dart", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 199
