"filename", "language", "YAML", "Dart", "Swift", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\likedFlareScreen.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, -4
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\likedFlares.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, -13
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\newCollectionScreen.dart", "Dart", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\newFlareComments.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\newFlareLikes.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -9
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\profileFlares.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\singleFlareScreen.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\general.dart", "Dart", 0, 78, 0, 0, 0, 0, 9, 87
"c:\Users\User\Desktop\receive\linkspeak\lib\loading\profileSkeleton.dart", "Dart", 0, -33, 0, 0, 0, 0, 0, -33
"c:\Users\User\Desktop\receive\linkspeak\lib\main.dart", "Dart", 0, 1, 0, 0, 0, 2, -1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\providers\themeModel.dart", "Dart", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\Feed.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinkedNotifScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinksNotifScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\MyprofileScreen.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\PostCommentsNotifScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\aboutScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\addPostScreen.dart", "Dart", 0, 33, 0, 0, 0, 0, -1, 32
