"filename", "language", "C++", "YAML", "Markdown", "JSON", "Dart", "CSS", "Swift", "XML", "HTML", "JavaScript", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\archiveFindScreen.dart", "Dart", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 190
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\archiveItemsScreen.dart", "Dart", 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 345
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\controlDailyDetails.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\controlDailyLoginSearch.dart", "Dart", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 192
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\controlDailyLogins.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\controlDailyScreen.dart", "Dart", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\controlDayScreen.dart", "Dart", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 118
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\findScreen.dart", "Dart", 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 342
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\generalControlScreen.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\generalItemsScreen.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 112
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainAdminScreen.dart", "Dart", 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 329
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainArchiveScreen.dart", "Dart", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 224
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainControlScreen.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainProfanityScreen.dart", "Dart", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 192
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\newFlaresScreen.dart", "Dart", 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 205
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\profanityItemsScreen.dart", "Dart", 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 289
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\userCollectionDocsScreen.dart", "Dart", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\userDailyCollectionsScreen.dart", "Dart", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 198
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\userDailyDetailsScreen.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
